...1,Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
42,2019-02-21,14,20.4,0,5.8,7.4,SSW,31,13:41:00,17.4,57,7,SSW,11,1020,18.9,60,7,SSW,15,1021.2
233,2018-10-9,16.1,17.9,NA,5.4,0,S,35,18:03:00,16.6,80,8,SSW,4,1015.3,14.9,100,8,S,13,1015.4
117,2019-05-21,11.1,20.4,0.4,2.6,4.4,NNW,33,15:46:00,14,77,7,NNW,11,1023.8,19.3,56,7,N,15,1022.2
74,2019-04-2,7.4,25.9,0,2.4,10.8,NNE,35,11:29:00,9.4,82,6,NNE,11,1027,24.8,32,2,NNW,17,1022.1
130,2019-06-4,8.4,12.9,3.2,2.4,4.9,S,30,00:14:00,10.1,68,7,SSE,9,1027.4,12.5,59,4,S,15,1028.1
127,2019-06-1,11.7,14.6,2.4,0.6,0.5,SSW,28,00:28:00,13.3,78,7,S,9,1032.5,13.8,71,7,SSW,9,1031
3,2019-01-6,14.6,22.1,1.4,6.4,13.3,SSW,33,11:12:00,17.7,55,1,SW,9,1020.4,20.6,48,1,SSW,13,1019.5
157,2018-07-6,12.5,15.2,0,NA,6.7,NW,48,14:41:00,12.5,66,7,WNW,17,1005.8,14.2,44,3,NW,20,1007.7
99,2019-05-2,17.1,20.2,3.6,4.8,0.4,N,39,13:01:00,17.6,78,7,N,13,1018.2,19.9,72,7,N,17,1015.1
229,2018-10-4,10.9,14.6,0,4.8,1,S,33,13:48:00,12.1,66,8,S,13,1022.9,13.8,70,7,SSW,15,1021.3
112,2019-05-15,12,15.8,0,2.8,4.4,SW,20,12:40:00,13.6,74,7,W,2,1031.9,15.1,57,2,S,9,1030.2
253,2018-11-2,16.3,31.6,0,11.2,6.4,WNW,57,15:50:00,22.7,62,8,N,22,1008.2,29.1,46,5,NNW,20,1003.1
111,2019-05-14,11.3,20.2,0,4,7,NW,33,13:09:00,14.4,64,3,N,13,1028.4,19.6,46,4,W,9,1027.2
5,2019-01-8,16.7,24.1,0,7.2,10.7,SSW,43,15:36:00,20.2,72,7,WSW,2,1011.8,23.5,60,3,SSW,13,1008.7
